nameOfPlace,lat,lng,averageDaysOfPlace,destinationForSex,destinationForAges
Amsterdam,52.3727597,4.8936041,0,0,0
Dam Square,52.373191,4.8923962,0,0,0
Red Light District,52.373625,4.8980406,0,0,0
KNSM-eiland,52.3769808,4.9424775,0,0,0
Steigereiland-Noord,52.3639834,4.9868178,0,0,0
Steigereiland,52.3616027,4.9799651,0,0,0
Prinseneiland,52.385625,4.8872529,0,0,0
Cruquius-eiland,52.3687219,4.945903,0,0,0
IJdock,52.3844062,4.8946646,0,0,0
Westerdokseiland,52.385397,4.8929846,0,0,0
Zeeburgereiland,52.3723233,4.9653192,0,0,0
Wittenburg,52.371514,4.9219192,0,0,0
Java-eiland,52.378528,4.9283873,0,0,0
Bickerseiland,52.3850801,4.8895226,0,0,0
Kattenburg,52.3733321,4.9176892,0,0,0
Uilenburg,52.3705319,4.9049641,0,0,0
Grote Rieteiland,52.3547881,4.9925503,0,0,0
Sporenburg,52.3737395,4.9444473,0,0,0
Oostenburg,52.3691201,4.9237415,0,0,0
Oostenburgereiland,52.3716223,4.9272028,0,0,0
Kleine Rieteiland,52.3527251,4.9936073,0,0,0
Realeneiland,52.3876371,4.8884193,0,0,0
Steenbokkenrots,52.3664605,4.9150183,0,0,0
Vogeleiland,52.3670365,5.0073551,0,0,0
Kompaseiland,52.3791352,4.938727,0,0,0
Borneo-eiland,52.3715604,4.9450918,0,0,0
Slochtereiland,52.4134401,4.9426962,0,0,0
Geuzeneiland,52.3718855,4.806223,0,0,0
Doolhof,52.3331343,4.8916502,0,0,0
Hoeckelingsdam,52.3810662,5.0186344,0,0,0
Apenrots,52.3669125,4.9140154,0,0,0
Vuurtoreneiland,52.3723758,5.0137319,0,0,0
Voetbaleiland,52.3418133,4.8506548,0,0,0
Flower Market,52.3668753,4.8914135,0,0,0
Royal Palace of Amsterdam,52.373153,4.8913414,0,0,0
Anne Frank House,52.3750856,4.8841206,0,0,0
Van Gogh Museum,52.3581924,4.8811926,0,0,0
Canals of Amsterdam,52.3780684,4.8906702,0,0,0
Begijnhof,52.3694549,4.8900651,0,0,0
Vondelpark,52.3577426,4.8666878,0,0,0
Rijksmuseum,52.3598603,4.8851358,0,0,0
Old Church,52.3743752,4.8980675,0,0,0
Westerkerk,52.3745424,4.8839335,0,0,0
Rembrandt Square,52.3660704,4.8966354,0,0,0
Amsterdam Centraal Railway Station,52.378295,4.9005362,0,0,0
Centrum,52.3737301,4.8956907,0,0,0
Heineken Experience,52.3578404,4.8917839,0,0,0
Amsterdam Museum,52.3704311,4.8904287,0,0,0
Waterlooplein Market,52.368622,4.9011934,0,0,0
Toon Ylandplantsoen,52.3878408,4.8863282,0,0,0
De Kluut (1),52.3862405,4.7645429,0,0,0
Botteskerkpark,52.3597079,4.7945715,0,0,0
Kluut (2),52.3815082,4.7647994,0,0,0
Jaagpadbos,52.3349255,4.8410559,0,0,0
The Smallest House In Amsterdam,52.3712227,4.8976547,0,0,0
Leidseplein Square,52.364181,4.882802,0,0,0
Albert Cuyp market,52.3552491,4.8918746,0,0,0
In de Wildeman,52.3761635,4.8951566,0,0,0
Pancakes Amsterdam,52.3704793,4.8832522,0,0,0
Jordaan District,52.375311,4.8817706,0,0,0
Basilica of Saint Nicholas,52.3764156,4.9011558,0,0,0
Northern Market,52.37937,4.8867438,0,0,0
Weigh House,52.3726899,4.9003569,0,0,0
De Gooyer Windmill,52.3667974,4.9261522,0,0,0
National Monument,52.3728163,4.8936961,0,0,0
Museum Square,52.3573399,4.8816233,0,0,0
Sexmuseum,52.3765814,4.8972748,0,0,0
Science Center NEMO,52.3741957,4.912322,0,0,0
Chinatown,52.3733265,4.9005737,0,0,0
Nieuwmarktbuurt,52.3720711,4.9023519,0,0,0
Hash Marihuana & Hemp Museum,52.3717783,4.8969197,0,0,0
Hortus Botanicus Botanical Garden,52.3667479,4.9079134,0,0,0
A'dam Lookout,52.3838593,4.9021022,0,0,0
Rembrandt House,52.3693004,4.9013307,0,0,0
Pancake Bakery,52.3775884,4.8862637,0,0,0
Madame Tussauds Amsterdam,52.3725873,4.8925871,0,0,0
Magna Plaza Shopping Center,52.3736354,4.8902494,0,0,0
Hard Rock Cafe Amsterdam,52.3621869,4.8833076,0,0,0
New Church,52.3738044,4.8918197,0,0,0
House with the Gnomes,52.3559984,4.904199,0,0,0
Erotic Museum,52.3739131,4.8992098,0,0,0
The Bulldog,52.3639985,4.8833781,0,0,0
Café de Jaren,52.3680203,4.8953278,0,0,0
Artis Royal Zoo,52.3660441,4.9168686,0,0,0
Statue of Anne Frank,52.3455583,4.9002296,0,0,0
Stedelijk Museum Amsterdam,52.3579073,4.879838,0,0,0
The Amsterdam Dungeon,52.3701572,4.8921484,0,0,0
De Bloem Windmill,52.3847385,4.8601815,0,0,0
Flower Canal,52.3745728,4.8802106,0,0,0
De Kaaskamer Cheese Shop,52.3688284,4.883856,0,0,0
Southern Church Amsterdam,52.3703092,4.8997651,0,0,0
He Hua Temple,52.3737459,4.900069,0,0,0
Café Winkel 43,52.3790747,4.886186,0,0,0
West,52.3766721,4.863724,0,0,0
Damrak,52.3734305,4.8933105,0,0,0
Foodhallen,52.3669716,4.8682983,0,0,0
Kalverstraat Street,52.372678,4.891994,0,0,0
The National Maritime Museum,52.3717161,4.9148,0,0,0
Public Library Amsterdam,52.3761632,4.908202,0,0,0
Hermitage Amsterdam,52.3653953,4.9028746,0,0,0
