nameOfPlace,lat,lng,avg_rate_of_place,avg_hours_of_place,avg_ages_of_place,count_of_post_added_to_place
Diemerpark,52.35223653,4.98796463,0,0,0,0
Polygoongracht,52.356452,4.997056,0,0,0,0
Jachthaven ijburg,52.35317363,5.004712343,0,0,0,0
Tuin Van Vrienden,52.356383,4.996973,0,0,0,0
Speeltuin Talbotstraat,52.35724938,4.995745883,0,0,0,0
Theo van Goghpark,52.35017877,5.00538826,0,0,0,0
Marc's Place,52.355045,4.996358,0,0,0,0
Bert Haanstra Kade,52.359315,4.996258,0,0,0,0
Rondje IJburg,52.35569224,4.994743436,0,0,0,0
Sem Presserhof Speeltuin,52.35357119,4.999613207,0,0,0,0
IJpark,52.351168,5.00542,0,0,0,0
Haven IJburg,52.35316103,5.0056609,0,0,0,0
Amsterdam Dance Centre IJburg,52.353834,5.006561,0,0,0,0
Brug jachthaven IJburg,52.353991,5.000551,0,0,0,0
Sluis Jachthaven IJburg,52.35442,5.00605,0,0,0,0
Joris Ivensplein,52.35931,4.990564,0,0,0,0
AFC IJburg,52.356817,4.979538175,0,0,0,0
Magic Circus op IJburg,52.359027,4.990614,0,0,0,0
Nijlpaard sluis,52.35748824,4.989673759,0,0,0,0
De 100m Rode Bank,52.36067705,4.990336928,0,0,0,0
Pornoboot,52.35440326,4.989983607,0,0,0,0
Strand Ijburg,52.35021105,5.000214974,0,0,0,0
Diemerstrandje,52.35443836,4.986848831,0,0,0,0
Surfschool ijburg,52.35316559,5.008525318,0,0,0,0
Stormbaan,52.35019528,5.005837027,0,0,0,0
Amsterdamse golf club,52.39948353,4.745906934,0,0,0,0
AGC,52.3994185,4.745913989,0,0,0,0
Ruigoord Kerk,52.40508148,4.7558783,0,0,0,0
M1,52.40318451,4.759457302,0,0,0,0
United Stevedores Amsterdam,52.41980891,4.76855785,0,0,0,0
Amerikahaven,52.4254557,4.771093693,0,0,0,0
Tuss'n de Koei'n,52.413517,4.768342,0,0,0,0
Heining 21,52.396119,4.767001,0,0,0,0
Kompleks,52.396281,4.768845,0,0,0,0
Martin Gaus Hondenschool,52.3975763,4.770681174,0,0,0,0
Hondenschool Martin Gaus,52.38851441,4.769033515,0,0,0,0
Aristos Hal Amsterdam,52.38387264,4.762370066,0,0,0,0
De Grote Braak,52.38801239,4.774148931,0,0,0,0
Uitzichtpunt picknicktafel lange bretten,52.38558597,4.778170842,0,0,0,0
Alex's Hill,52.3851608,4.77725029,0,0,0,0
De Kwekerij,52.37890753,4.761494134,0,0,0,0
Huisje Tuinpark Osdorp,52.377646,4.774752,0,0,0,0
Kooter hooveniers,52.3750836,4.7703173,0,0,0,0
Tuinpark Osdorp,52.377583,4.775198,0,0,0,0
our tuinhuisje,52.37592316,4.775551796,0,0,0,0
Volkstuin de Eendracht,52.37349616,4.779276762,0,0,0,0
De Boterbloem,52.36029,4.766698,0,0,0,0
Konijnenopvang Amsterdam,52.37020701,4.777861931,0,0,0,0
Pocahondas,52.3580273,4.765764128,0,0,0,0
Playreal,52.37014,4.777237,0,0,0,0
Jachthaven De hooglanden,52.353161,4.771116,0,0,0,0
Westgaarde Begraafplaats,52.35965577,4.778675016,0,0,0,0
Pius Floris Boomverzorging,52.35558271,4.760894179,0,0,0,0
Nysa's uitlaatplek,52.355773,4.777689481,0,0,0,0
Jachthaven Osdorp,52.353182,4.771054,0,0,0,0
The Real PlayStation,52.351522,4.769957,0,0,0,0
klussie,52.35116959,4.773172855,0,0,0,0
Hockey,52.354702,4.778158639,0,0,0,0
Speeltuin Seifertplein,52.353761,4.77832,0,0,0,0
De Osdorperbinnenpolder Noord,52.38417047,4.782602414,0,0,0,0
Shoeless Open Air,52.3832835,4.780956647,0,0,0,0
S.C. Eendracht'82,52.37935848,4.78389001,0,0,0,0
Amsterdam Panthers,52.37932621,4.787111901,0,0,0,0
S.V. Eendracht,52.37938525,4.784793891,0,0,0,0
Buitenverblijf De Boois,52.37758413,4.7758381,0,0,0,0
De Tuinen Van West,52.381651,4.787168,0,0,0,0
BeeVee Strand,52.38245313,4.790909919,0,0,0,0
Voetbalclub Nieuw-West,52.38006482,4.784312751,0,0,0,0
P & T,52.380405,4.786109,0,0,0,0
Young Turks,52.380481,4.786214,0,0,0,0
Tuinhuisje Van Pauline En Jeroen,52.37823665,4.784680009,0,0,0,0
P&t,52.38041472,4.786165,0,0,0,0
Nederlandse Rugby BondRugby,52.37876668,4.786520382,0,0,0,0
Het nieuwe Bijenpark,52.374982,4.784981,0,0,0,0
Tigeno Tuincomplex,52.37396751,4.785153817,0,0,0,0
Oerol,52.37881,4.78634,0,0,0,0
Bok De Korver Rugby Stadion,52.37863514,4.786447372,0,0,0,0
Bierbrouwerij De 7 Deugden,52.36828437,4.782870587,0,0,0,0
Galatasaray Football Academy Amsterdam,52.36729432,4.786627331,0,0,0,0
The Royal,52.36121994,4.785724431,0,0,0,0
Huis van jody en karen,52.35507854,4.780439688,0,0,0,0
Biljartcentrum Osdorp,52.35669414,4.784864457,0,0,0,0
Sbk,52.360317,4.783522,0,0,0,0
Sport En Judocentrum Osdorp,52.3600998,4.785002898,0,0,0,0
Bankie,52.356455,4.785089,0,0,0,0
De Kroon,52.360603,4.785933,0,0,0,0
Loetje In De Aker,52.352697,4.782196,0,0,0,0
Biljartcentrum Osdorp,52.36181585,4.786046019,0,0,0,0
Bed Time,52.356352,4.785076,0,0,0,0
Verel's Poolbar,52.35029774,4.780677084,0,0,0,0
Manege Het Molenpaardje,52.362754,4.787343,0,0,0,0
Passy's Castle,52.350449,4.781894,0,0,0,0
Forza Roma Club Couch,52.3469,4.783665,0,0,0,0
Dog Meeting Point De Oude Molen,52.34699146,4.783481823,0,0,0,0
Sweet  Home Osdorp,52.348782,4.780959,0,0,0,0
@gizems hause NL:)),52.348637,4.780913,0,0,0,0
Aya's Speeltuin,52.348526,4.784286,0,0,0,0
