name,lat,lng,goal
Diemerpark,52.35223653,4.98796463,Attractions & Leisure
Tuin Van Vrienden,52.356383,4.996973,Attractions & Leisure
Speeltuin Talbotstraat,52.35724938,4.995745883,Attractions & Leisure
Theo van Goghpark,52.35017877,5.00538826,Attractions & Leisure
Bert Haanstra Kade,52.359315,4.996258,Attractions & Leisure
Sem Presserhof Speeltuin,52.35357119,4.999613207,Attractions & Leisure
IJpark,52.351168,5.00542,Attractions & Leisure
Haven IJburg,52.35316103,5.0056609,Attractions & Leisure
Amsterdam Dance Centre IJburg,52.353834,5.006561,Attractions & Leisure
Brug jachthaven IJburg,52.353991,5.000551,Attractions & Leisure
Sluis Jachthaven IJburg,52.35442,5.00605,Attractions & Leisure
Joris Ivensplein,52.35931,4.990564,Attractions & Leisure
Magic Circus op IJburg,52.359027,4.990614,Attractions & Leisure
Nijlpaard sluis,52.35748824,4.989673759,Attractions & Leisure
Pornoboot,52.35440326,4.989983607,Attractions & Leisure
Surfschool ijburg,52.35316559,5.008525318,Attractions & Leisure
United Stevedores Amsterdam,52.41980891,4.76855785,Attractions & Leisure
Amerikahaven,52.4254557,4.771093693,Attractions & Leisure
Tuss'n de Koei'n,52.413517,4.768342,Attractions & Leisure
Martin Gaus Hondenschool,52.3975763,4.770681174,Attractions & Leisure
Hondenschool Martin Gaus,52.38851441,4.769033515,Attractions & Leisure
Uitzichtpunt picknicktafel lange bretten,52.38558597,4.778170842,Attractions & Leisure
Alex's Hill,52.3851608,4.77725029,Attractions & Leisure
De Kwekerij,52.37890753,4.761494134,Attractions & Leisure
Huisje Tuinpark Osdorp,52.377646,4.774752,Attractions & Leisure
Kooter hooveniers,52.3750836,4.7703173,Attractions & Leisure
Tuinpark Osdorp,52.377583,4.775198,Attractions & Leisure
our tuinhuisje,52.37592316,4.775551796,Attractions & Leisure
Volkstuin de Eendracht,52.37349616,4.779276762,Attractions & Leisure
De Boterbloem,52.36029,4.766698,Attractions & Leisure
Pocahondas,52.3580273,4.765764128,Attractions & Leisure
Jachthaven De hooglanden,52.353161,4.771116,Attractions & Leisure
Westgaarde Begraafplaats,52.35965577,4.778675016,Attractions & Leisure
Pius Floris Boomverzorging,52.35558271,4.760894179,Attractions & Leisure
Nysa's uitlaatplek,52.355773,4.777689481,Attractions & Leisure
