name,lat,lng,goal,photo
Diemerpark,52.35223653,4.98796463,Attractions & Leisure,https://image.shutterstock.com/image-photo/city-beach-diemerpark-amsterdam-holland-260nw-1410833255.jpg
Tuin Van Vrienden,52.356383,4.996973,Attractions & Leisure,https://parkomdehoek.nl/wp-content/uploads/2019/02/1600x_5c6e8da4a7e311ab3ea2012f5c0d2f3342a6fc526e4bb.jpg
Speeltuin Talbotstraat,52.35724938,4.995745883,Attractions & Leisure,https://media-cdn.tripadvisor.com/media/photo-s/1a/87/91/b3/speeltuin-voor-de-kinderen.jpg
Theo van Goghpark,52.35017877,5.00538826,Attractions & Leisure,https://upload.wikimedia.org/wikipedia/commons/f/f7/2020_Theo_van_Goghpark_%284%29.jpg
Bert Haanstra Kade,52.359315,4.996258,Attractions & Leisure,https://www.makelaaramsterdam.nl/wp-content/uploads/2019/10/bert_haanstrakade_234__large.jpg
Sem Presserhof Speeltuin,52.35357119,4.999613207,Attractions & Leisure,https://fastly.4sqi.net/img/general/width960/I1Hofxd3fNUzx9wrkKJJP3djBQFkCPOrQTRnq00gEe0.jpg
IJpark,52.351168,5.00542,Attractions & Leisure,http://www.amstel-ijpark.amsterdam/wp-content/uploads/2017/11/Boomsspijker750.jpg
Haven IJburg,52.35316103,5.0056609,Attractions & Leisure,https://upload.wikimedia.org/wikipedia/commons/3/38/IJburg_Haven.JPG
Amsterdam Dance Centre IJburg,52.353834,5.006561,Attractions & Leisure,https://amsterdamdancecentre.nl/wp-content/uploads/2016/06/Studio-2.jpg
Brug jachthaven IJburg,52.353991,5.000551,Attractions & Leisure,https://debrugkrant.nl/wp-content/uploads/2013/08/De-Haven-links-aan-de-kade-het-aanstaande-pannenkoekenhuis.-Foto-BDKL.jpg
Sluis Jachthaven IJburg,52.35442,5.00605,Attractions & Leisure,https://fastly.4sqi.net/img/general/width960/7990081_WxYDne-xfj_OwTA6ZF2ZrfHvyc3UTzxwk-mLjZhMW5E.jpg
Joris Ivensplein,52.35931,4.990564,Attractions & Leisure,https://www.noviomagus.nl/Vrij/Ivens/DSC03709.jpg
Magic Circus op IJburg,52.359027,4.990614,Attractions & Leisure,https://www.noviomagus.nl/Vrij/Ivens/DSC03709.jpg
Nijlpaard sluis,52.35748824,4.989673759,Attractions & Leisure,https://amsterdam.kunstwacht.nl/cache/9/8/2/982c7c4c19a7592dbc2f56e1d533f397_700_540.jpg
Surfschool ijburg,52.35316559,5.008525318,Attractions & Leisure,https://surfcenterijburg.nl/images/scij-nieuw.jpg
United Stevedores Amsterdam,52.41980891,4.76855785,Attractions & Leisure,https://www.amports.nl/wp-content/uploads/2020/03/LFH-2706219_330-1536x1024.jpg
Amerikahaven,52.4254557,4.771093693,Attractions & Leisure,https://upload.wikimedia.org/wikipedia/commons/a/a7/Amerikahaven.jpg
Tuss'n de Koei'n,52.413517,4.768342,Attractions & Leisure,https://pubblestorage.blob.core.windows.net/d9c7ad83/content/2018/8/b01e8e53-0e8e-4bf0-be0b-cd4d98c15109_thumb1024.jpg
Martin Gaus Hondenschool,52.3975763,4.770681174,Attractions & Leisure,https://mgh-lelystad.nl/wp-content/uploads/2019/06/20190530-170438-2X183635.jpg
Uitzichtpunt picknicktafel lange bretten,52.38558597,4.778170842,Attractions & Leisure,https://fastly.4sqi.net/img/general/width960/rbJSBuQaAB-XdfdC4ZjlaZ8N2b6rVL7KVijXa8w78d8.jpg
De Kwekerij,52.37890753,4.761494134,Attractions & Leisure,https://www.bw-energy.de/wordpress/wp-content/uploads/2017/12/DJI_0044-1500x630.jpg
Huisje Tuinpark Osdorp,52.377646,4.774752,Attractions & Leisure,https://slotenoudosdorp.nl/wp-content/uploads/2019/03/Vokstuin-VAT-768x511.jpg
Kooter hooveniers,52.3750836,4.7703173,Attractions & Leisure,http://www.kooterhoveniers.nl/files/images/photo-albums/album_17_04d192c3fa_n.jpg
Tuinpark Osdorp,52.377583,4.775198,Attractions & Leisure,https://tuinenvanwest.info/dynamic/media/12/images/beeld/F_mariette%20carstens/20130817_MC_0065c.jpg
our tuinhuisje,52.37592316,4.775551796,Attractions & Leisure,https://www.showhome.nl/images/tuinhuisje_1.png
Volkstuin de Eendracht,52.37349616,4.779276762,Attractions & Leisure,https://volkstuinzutphen.nl/wp-content/uploads/2018/12/Complex_Het_Gallee_500x400.jpg
De Boterbloem,52.36029,4.766698,Attractions & Leisure,https://www.foreco.nl/media/9347/opening-boerderij-de-boterbloem-1.jpg?anchor=center&mode=crop&quality=75&width=1100&rnd=132060410710000000
Jachthaven De hooglanden,52.353161,4.771116,Attractions & Leisure,https://fastly.4sqi.net/img/general/width960/7150740_08XwFTHnbsIlEap_QHhwRrXNwV3gdWVy5uktWLL1OIY.jpg
Westgaarde Begraafplaats,52.35965577,4.778675016,Attractions & Leisure,https://www.uitvaartcompact.nl/wp-content/uploads/2016/08/Begraafplaats-Westgaarde-347x231.jpg
Jachthaven Osdorp,52.353182,4.771054,Attractions & Leisure,https://slotenoudosdorp.nl/wp-content/uploads/2019/02/molen-van-sloten-768x604.jpg
Hockey,52.354702,4.778158639,Sport & Extreme,https://www.inspiresport.com/wp-content/uploads/2015/02/12920294_565634203594894_3978407598161232174_n.jpg
De Osdorperbinnenpolder Noord,52.38417047,4.782602414,Attractions & Leisure,https://yoors-media-uploads-adsfairbv.netdna-ssl.com/14377/photos/osdorper-binnen-polder1522847150.jpg
Verlicht Crack Steegje,52.39565776,4.95428014,Culture & Historical Places,https://static.zoom.nl/1DEC4AE47795840DE26AF6DE3017C398-steegje-in-gorinchem.jpg
Modestraat,52.39216542,4.956185442,Culture & Historical Places,https://dojo.amsterdam/wp-content/uploads/2016/03/13315374_785393964895126_7236311004569196363_n.jpg
handbag and purse museum,52.37519178,4.939416947,Culture & Historical Places,https://www.amsterdam-now.com/wp-content/uploads/Amsterdam_Museumwinkel_Tassenmuseum.jpg
Crematorium Westgaarde,52.35923393,4.776273298,Culture & Historical Places,https://cms.uitvaartbloemist-nederland.nl/store/files/1539427628-ingang%20westgaarde.jpg
Spirit,52.379423,4.799576,Culture & Historical Places,http://www.veganamsterdam.org/wp-content/uploads/2017/04/LLH_VeganAmsterdam-apr2017-002.jpg
OORbit geluidsstudio,52.394277,4.837126,Attractions & Leisure,https://milocostudios.com/admin/uploads/1511950677.5332.157249.jpg
Regus,52.38575356,4.84303181,Culture & Historical Places,https://www.huurbieding.nl/images/content/objects/2928/fotos_gustav-mahlerplein-2-in-amsterdam-22f60106075e53cd29d4a2d71199219b_normal.jpg
In De Bajes,52.385312,4.850435,Night Life,https://www.amsterdam-dance-event.nl/img/images/venues/58e223225aed5.770.jpg?w=1920&h=1400&fit=crop-50-45.95&fm=pjpg
Auditorium,52.369192,4.843891,Culture & Historical Places,https://i.pinimg.com/564x/0d/2d/ed/0d2dedd286880a6043cc2bdddf4f1670.jpg
